ID,Size,OG,FG,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,ABV
39,3406.87,1,1,0,0.02,3520.43,60,1,70,1.5,0
9,20.82,1,1,0,3.72,24.61,60,1,0,1.25,0
9,1,1,1,0,0,1,0,1,68,3,0
9,1994.91,1,1,0,0.03,2112.26,60,1,80,1.5,0
44,17.03,1,1,0,0,28.39,60,1,70,1.25,0.01
80,550,1,1,0,0.18,550.5,60,1,65,2,0.04
30,20.82,1.001,1,0,5.63,28.39,90,1,0.8,1.25,0.06
9,20.82,1.001,1,0,0.18,28.39,60,1,80,4,0.06
7,20.82,1.001,1,0,0.41,28.39,60,1.001,70,1.33,0.08
66,18.93,1.06,1.059,38.29,26.46,18.93,90,1.06,77,1.4,0.08
7,21.77,1.062,1.062,56.25,5.2,28.39,60,1.048,70,1.25,0.08
7,21,1.001,1,0,0.28,26,60,1.001,70,4,0.09
39,950,1.001,1,0,0,950,60,1.001,80,3,0.1
39,22.71,1.001,1,0,3.11,30.28,60,1.001,70,1.4,0.1
9,20.82,1.001,1,0,2.25,28.39,60,1.001,70,1.5,0.13
9,165,1.001,1,0,0.33,180,60,1.001,80,3,0.13
175,20.82,1.002,1,0,0.49,28.39,60,1.001,60,1.5,0.17
7,100,1.002,1,0,7.86,100,70,1.002,70,3,0.18
75,19.87,1.002,1.001,19.79,1.18,27.44,60,1.002,65,2,0.21
114,20.82,1.002,1.001,0,0.8,28.39,60,1.002,35,1.5,0.21
30,18.93,1.002,1.001,0,0.53,22.71,60,1.002,70,1.5,0.22
59,18,1.002,1,30.74,0,18,60,1.002,75,3.53,0.25
111,3,23.8612,23.4246,0,5.45,3,0,23.9,76,6.077,0.26
87,20.82,1.003,1.001,126.15,0.8,26.5,60,1.002,51,1.5,0.29
111,20,1.008,1.006,55.43,11.39,25,60,1.006,70,3,0.3
9,23.66,1.003,1.001,0,0.68,26.5,60,1.003,80,1.3,0.33
12,41.64,1.004,1.001,0,1.4,43.53,60,1.004,70,1.3,0.38
162,25,1.004,1.001,0,9.69,25,90,1.004,70,3,0.41
7,23.66,1.004,1.001,0,0.64,30.28,60,1.003,72,1.25,0.42
9,20.82,1.004,1.001,0,0.8,28.39,60,1.003,75,1.3,0.43
9,18.93,1.004,1.001,0,0.85,26.5,60,1.003,70,1.5,0.44
9,22.71,1.005,1.001,0,1.08,34.07,60,1.003,75,0.9,0.46
9,20.82,1.005,1.001,0,0.69,28.39,60,1.003,70,1.5,0.46
9,20.82,1.005,1.001,0,1.12,28.39,60,1.003,35,1.5,0.46
9,18.93,1.005,1.001,0,0.85,24.61,60,1.004,74,1.5,0.47
9,18.93,1.005,1.001,0,0.85,24.61,60,1.004,74,1.5,0.47
9,23,1.005,1.001,0,1.13,28.5,60,1.004,35,3,0.47
7,140,1.015,1.011,0,1.54,140,60,1.015,70,3,0.48
83,18.93,1.005,1.001,0,0.85,18.93,60,1.005,78,1.5,0.49
9,23,1.005,1.001,23.36,5.17,25,60,1.005,75,3,0.49
9,18.93,1.005,1.001,0,0.74,26.5,60,1.004,70,1.5,0.5
155,3.79,1.005,1.001,20.78,3.3,8.59,90,1.002,75,1.5,0.52
9,5.68,1.151,1.148,0,7.49,6.81,15,1.126,70,1.25,0.54
9,18.93,1.006,1.001,0,0.31,30.28,60,1.004,70,1.5,0.55
9,18.93,1.006,1.001,0,0.31,24.61,60,1.005,74,1.5,0.58
111,18.93,1.006,1.002,0,0,18.93,60,1.006,70,1.5,0.62
9,20.82,1.006,1.001,0,16.35,28.39,60,1.004,35,1.5,0.62
9,9.46,1.006,1.001,0,4.8,9.46,60,1.006,70,1.5,0.63
