Size,OG,FG,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PitchRate,PrimaryTemp,ABV,IBU
45.42,1.084,1.02,6.26,51.1,60,1.075,90,1.25,1,20.56,8.43,79.28
26.5,1.052,1.012,5.82,32.18,60,1.043,70,1.3,0.75,20.56,5.31,60.58
48,1.049,1.008,3.3,60,90,1.039,75,2.5,1.5,11,5.41,24.28
19.87,1.071,1.018,6.82,28.39,60,1.05,72,1.5,1,20,6.93,68.91
20.82,1.065,1.018,6.93,28.39,60,1.045,70,1.32,0.5,20.56,6.26,89.61
41.64,1.069,1.005,3.11,49.21,90,1.058,80,1.5,1,17.78,8.4,40.71
46,13.9618,3.4853,4.96,55,90,11.8,75,3.3,1,18,5.65,37.62
20.82,1.07,1.015,5.67,26.5,60,1.05,60,1.3,1,17.78,7.22,78.14
18.93,1.051,1.012,3.67,27.78,60,1.035,68,1.25,0.75,20,5.22,18.67
3.79,1.058,1.011,11.45,5.68,60,1.039,55,1.5,0.35,18.33,6.1,37.06
22.71,1.102,1.023,6.34,30.28,90,1.076,80,2,0.75,16.67,10.34,136.21
41.64,1.072,1.014,7.3,49.21,90,1.061,65,1.3,0.75,20,7.52,87.48
41.64,1.052,1.013,4.31,49.21,90,1.044,73,1.5,0.5,20,5.22,16.79
20.82,1.079,1.014,8.08,27.63,60,1.059,75,1.5,1.25,18.89,8.51,120.63
45.42,1.044,1.01,31.4,53,60,1.038,80,1.5,1,18.89,4.39,38.47
23,1.052,1.011,3.26,29,90,1.041,75,5,1,18,5.36,18.92
20.82,1.075,1.019,11.3,28.39,75,1.055,70,1.33,0.35,18.33,7.89,97.11
19,1.096,1.01,20.93,22,90,1.062,74,2.75,0.75,22,11.3,27
20.82,1.069,1.02,40,28.39,60,1.051,70,1.25,0.35,20,6.39,34.93
22.71,1.058,1.009,3.69,27.44,60,1.048,78,1.33,0.35,18.33,6.42,39.52
19,1.09,1.022,5.64,24,90,1.071,70,2.43,1,21,8.97,31.75
20.82,1.066,1.015,7.32,27.94,60,1.049,72,1.3,0.75,18.89,6.7,76.06
18.93,1.052,1.01,8.14,21.77,60,1.046,67,1.5,0.5,18.33,5.55,45.2
10.6,1.054,1.013,4.65,14.38,60,1.04,70,1.5,0.75,17.78,5.32,51.73
20.82,1.061,1.011,9.38,28.39,60,1.045,75,1.5,1,15.56,6.58,37.83
37.85,1.049,1.01,8.76,41.64,60,1.044,85,1.25,0.75,18.33,5.06,33.49
20,1.064,1.014,20.91,25,90,1.051,69,3,1,17,6.54,42.06
22.71,1.13,1.036,40,34.07,180,1.086,80,1.25,1,16.67,12.35,114.57
22.71,1.081,1.014,5.8,28.39,60,1.059,75,1.33,0.35,19.44,8.82,124.23
20.82,1.052,1.013,9.47,28.39,60,1.038,75,1.5,1,19.44,5.05,27.42
21.77,1.06,1.005,15.25,31.23,60,1.042,73,1.3,0.75,20,7.22,18.07
41.64,1.062,1.014,5.9,45.42,60,1.056,80,1.2,0.5,22.22,6.3,18.89
20.82,1.055,1.015,15.23,28.39,60,1.035,72,1.5,1,16.67,5.22,34.36
13.25,1.054,1.012,3.13,18.93,90,1.038,72,1.5,1.5,11.11,5.46,13.67
19.87,1.058,1.017,4.3,24.61,60,1.047,70,2,0.75,20,5.42,43.43
20.82,1.09,1.019,50,24.61,60,1.076,70,1.3,0.35,21.11,9.26,88.9
20.82,1.076,1.015,6.04,26.5,90,1.054,66,1.3,1,17.78,8.03,162.53
22.71,1.107,1.033,31,32.18,120,1.076,75,1.25,1.25,14.44,10.94,64.49
23,1.054,1.01,5.65,28,60,1.044,78,3,0.5,19,5.77,36.64
22.71,1.07,1.016,6.96,30.28,75,1.052,70,1.25,0.75,20,6.99,67.84
22.71,1.076,1.018,5.85,30.28,90,1.057,75,1.75,1,19.44,7.64,67.76
60.57,1.046,1.011,3.33,71.92,60,1.039,70,1.5,0.35,20,4.58,12.04
20.82,1.066,1.013,6.75,26.5,90,1.052,66,1.3,1,20,6.98,125.78
21.77,1.057,1.017,8.4,26.5,60,1.047,73,2.96,0.35,20,5.29,57.28
20.82,1.047,1.016,4.35,27.44,60,1.036,70,2,0.75,15.56,4.09,22.76
22.71,1.079,1.018,7.34,30.28,90,1.059,75,1.75,0.75,18.33,7.98,0
20.82,1.053,1.014,12.01,28.39,90,1.039,65,1.5,0.5,20,5.13,27.22
22.71,1.069,1.017,40,28.39,90,1.055,85,1.75,0.75,19.44,6.77,38.63
20.82,1.075,1.014,12.08,29.53,75,1.053,75,2,1,18.33,7.95,64.87
20.82,1.078,1.025,6.31,27.44,60,1.059,80,1.25,1,16.67,6.92,82.1
43.53,1.09,1.021,39.77,53,90,1.074,75,1.33,1.25,17.78,8.95,83.29
12.5,1.067,1.012,18.57,13.5,60,1.058,78,2.5,0.5,20,7.34,24.66
19.87,1.053,1.014,3.79,24.61,60,1.043,70,1.5,0.75,18.33,5.15,72.58
20.82,1.063,1.011,6.81,26.5,75,1.05,65,1.33,0.75,17.78,6.91,71.93
41.64,1.088,1.015,8.81,51.1,90,1.071,65,1.3,1,19.44,9.55,134.37
20.82,1.08,1.01,4.06,28.39,60,1.059,80,1.25,0.5,24.44,9.17,27.51
41.64,1.05,1.012,6.36,49.21,60,1.042,70,1.5,0.35,21.11,4.89,27.21
20.82,1.075,1.019,6.38,27.44,60,1.053,70,1.5,0.75,21.11,7.29,0
20.82,1.042,1.012,3.86,28.39,60,1.03,70,1.69,0.5,21.11,3.82,28.39
20.82,1.101,1.024,40,28.39,90,1.074,70,1.25,0.35,19.44,10.17,82.34
12.5,1.092,1.013,21.33,13.5,60,1.071,80,2.8,0.75,24,10.34,32.51
5.4,1.076,1.014,9.72,7.1,75,1.044,85,2.75,1,19,8.11,27.1
19,1.065,1.016,6.82,23,90,1.054,70,3.5,0.75,21,6.43,14.5
50,1.05,1.014,4.15,57.6,60,1.043,70,2.8,0.35,24,4.67,19.6
19.87,1.057,1.018,6.58,31.23,90,1.036,70,1.5,0.5,18.89,5.08,40.08
79.49,1.069,1.025,41.87,87.06,60,1.063,82,1.5,0.75,20.56,5.85,28.78
20.82,1.063,1.013,9.49,27.25,60,1.048,75,1.5,0.5,21.11,6.49,86.33
18.93,1.062,1.011,7.47,28.39,90,1.041,70,1.5,0.5,20,6.71,66.17
3.79,1.059,1.017,3.36,3.79,60,1.059,85,1.5,0.35,20,5.71,0
41.64,1.136,1.031,50,58.67,120,1.096,70,1.5,0.5,20,13.69,79.54
20.82,1.09,1.021,32.93,28.39,60,1.066,80,1.5,1,20,8.99,93.05
21,1.055,1.01,5.22,19,90,1.06,79,3.4,0.5,19,5.86,35.56
12.5,1.046,1.008,3.66,16,55,1.036,85,2.2,0.5,26,5.06,25.97
643.52,1.067,1.012,6.46,711.66,75,1.061,88,1.25,0.75,20,7.23,98.21
22.71,1.06,1.01,27.58,26.5,30,1.052,79,1.61,1,20,6.82,60.68
17.03,1.068,1.018,15.97,24.61,90,1.047,70,1.25,1.5,10,6.52,41.68
22.71,1.047,1.011,3.34,26.5,30,1.04,74,1.64,0.75,18.89,4.8,14.95
41.64,1.081,1.015,32.38,49.21,90,1.069,68,1.36,1,22.22,8.73,84
41.64,1.051,1.013,3.16,49.21,80,1.043,73,1.5,1.5,8.89,5,20.26
18.93,1.052,1.011,6.1,23.66,75,1.042,63,1.25,0.75,16.67,5.38,27.92
20.82,1.09,1.023,9.04,26.5,60,1.071,75,1.4,0.75,21.11,9.65,24.89
20.82,1.054,1.013,27.63,24.61,60,1.046,70,1.5,0.5,20,5.34,29.37
20.82,1.142,1.03,50,26.5,90,1.111,72,1.25,1.25,20,14.61,84.06
22.71,1.05,1.013,7.49,26.5,60,1.043,72,2.18,0.75,10,4.85,28.92
29,1.061,1.014,40,35,75,1.051,75,2.5,0.5,20,6.17,29.71
20.82,1.065,1.013,7.06,24.61,90,1.055,70,1.5,0.75,18.89,6.87,132.56
45.42,1.044,1.014,8.46,53,60,1.038,95,1.25,1,19.44,4.01,34.24
38,1.08,1.02,18.94,48,90,1.063,70,4.2,1,17,7.88,22.49
18.93,1.069,1.019,11.59,26.12,60,1.05,65,1.5,1,15.56,6.52,60.18
45.42,1.063,1.014,6.73,53,60,1.054,90,1.25,1,18.89,6.55,68.03
20.82,1.06,1.015,9.74,25.74,60,1.048,69,1.5,0.75,20,5.88,59.37
18.93,1.072,1.021,40.98,28.39,60,1.048,70,1.5,0.35,20,6.65,28.62
18.93,1.07,1.013,6.56,26.5,60,1.05,70,1.3,0.35,17.78,7.44,66.16
20.82,1.059,1.015,18.39,26.5,60,1.046,70,1.5,0.75,18.89,5.66,25.49
22.71,1.064,1.013,5.89,32.18,60,1.045,70,1.25,0.75,18.33,6.68,75.55
45.42,1.085,1.018,6.37,56.4,90,1.064,90,1.25,1.25,18.89,8.75,251.23
41.64,1.05,1.008,19.59,47.32,60,1.044,72,1.5,0.5,17.22,5.51,33.18
41.64,1.046,1.008,11.11,47.32,60,1.04,72,1.5,0.75,20,4.91,45.02
24.61,1.066,1.02,6.44,32.18,90,1.051,75,1.5,0.75,17.78,6.1,48.95
19.87,1.057,1.014,7.81,26.5,90,1.042,72,1.25,1,19.44,5.56,39.28
20.82,1.169,1.025,40,28.39,90,1.124,80,1.5,1.25,20,18.81,160.74
